ID;name;source;destination;incoming Interface;Outgoing Interface;comment;Date Created
226; snet-aks0-s_to_snet-net-p-app;snet-aks0-p-10.61.8.0_21;vnet-net-p-001/snet-net-p-app;port2;port2;source range:  10.61.9.1  - 10.61.9.254      dest. range:  10.61.57.1    - 10.61.57.254 ;created on 15.11.2022
;;;;;; ;
; ; ; ; ; ; ;
; ; ; ; ; ; ;
;;;;;; ;
;;;;;; ;
;;;;;;;
;; ; ; ; ;;
;; ; ; ; ;;
;;;; ;;;
